District Name,Average Daily Attendance,Avg. Salary 2014-15,% Change Since 2008
Montecito Union Elementary ,424,104152,12.3
Orcutt Union Elementary,4346,75999,14
Santa Maria Joint Union High,7343,78464,9.9
Santa Ynez Valley Union High ,933,73818,4.1
Solvang Elementary,551,62209,1.7
Vista Del Mar Union Elementary ,50,71997,12.8
Alum Rock Union Elementary,10918,74018,13.7
Berryessa Union Elementary,7554,73023,9.3
Cambrian Elementary,3293,80119,11.9
Campbell Union Elementary ,7393,74377,11.1
Campbell Union High ,7072,72465,10.5
Cupertino Union Elementary,18694,78280,14.7
East Side Union High,22468,84725,9.2
Evergreen Elementary,12496,86588,16.8
Franklin-McKinley Elementary,8059,80675,10.5
Fremont Union High ,10422,85586,16.7
Gilroy Unified,10863,72456,12.3
Loma Prieta Joint Union Elementary ,478,68261,-3.8
Los Altos Elementary ,4565,78615,6.9
Los Gatos Union Elementary ,3216,85798,17
Los Gatos-Saratoga Joint Union High ,3168,102240,12.1
Moreland Elementary,4659,73292,7.3
Morgan Hill Unified,8119,69092,6.2
Mountain View-Whisman Elementary ,4886,71105,16.3
Mountain View-Los Altos Union High ,3749,113792,19.3
Mt. Pleasant Elementary,2417,67406,1.2
Oak Grove Elementary,10502,73229,10.1
Orchard Elementary,862,67937,1.7
Palo Alto Unified ,11516,95811,14.1
San Jose Unified,30254,70979,7.3
Santa Clara Unified ,14588,85112,20.3
Saratoga Union Elementary ,2038,89192,17.7
Sunnyvale Elementary ,6518,74663,13.3
Union Elementary,5395,72791,6.6
Milpitas Unified,10011,80570,11.8
Bonny Doon Union Elementary ,139,55275,4.1
Happy Valley Elementary ,131,60976,9.5
Live Oak Elementary,1738,63242,9.7
Pajaro Valley Unified,18884,60690,12
San Lorenzo Valley Unified,2587,65676,9.6
Soquel Union Elementary,1943,64987,8.2
Anderson Union High,1541,65482,7.2
Columbia Elementary,788,62600,9.5
Cottonwood Union Elementary,861,66899,8.1
Fall River Joint Unified,1090,51757,1.6
"Igo, Ono, Platina Union Elementary",55,42940,-14
Pacheco Union Elementary,554,54647,-1.2
Redding Elementary,2987,62346,2.8
Shasta Union Elementary,153,48443,-11.4
Shasta Union High,4062,69606,10.4
Gateway Unified,2318,59860,4.1
Sierra-Plumas Joint Unified,356,58162,15.9
Dunsmuir Joint Union High,54,40782,-9.5
Mt. Shasta Union Elementary,493,61444,9.3
Siskiyou Union High,535,56789,7.7
Weed Union Elementary,228,53172,4.4
Yreka Union High,615,72338,5
Butte Valley Unified,282,52142,3.8
Benicia Unified,4739,72453,11.5
Dixon Unified,3209,65325,3
Fairfield-Suisun Unified,20304,64876,5
Travis Unified,5214,67562,-0.3
Vacaville Unified,12269,64610,7.9
Vallejo City Unified,13066,61264,7.1
Petaluma City Schools,6249,65957,6.3
Santa Rosa City Schools,14813,70046,3.1
West Sonoma County Union High,1943,63813,0.2
Bennett Valley Union Elementary,1018,63087,10.7
Forestville Union Elementary ,321,63257,0.6
Horicon Elementary ,54,56225,12.6
Mark West Union Elementary,1394,66761,7.5
Old Adobe Union Elementary,1652,69695,8.6
Piner-Olivet Union Elementary,1066,72353,8.5
Rincon Valley Union Elementary,3379,64433,8.9
Roseland Elementary,2659,59351,11.2
Sebastopol Union Elementary,488,67970,9.3
Sonoma Valley Unified ,3955,62225,3.5
Twin Hills Union Elementary,1232,57614,4.9
Waugh Elementary,913,75366,9.8
Wilmar Union Elementary,231,60238,9.1
Wright Elementary,1558,61714,3.9
Cotati-Rohnert Park Unified,5575,59289,-3.2
Healdsburg Unified ,1584,65585,10.8
Modesto City Schools,28330,82285,2
Ceres Unified,12122,73217,7.4
Chatom Union Elementary,581,68943,10.5
Denair Unified,982,62672,1.2
Empire Union Elementary,2868,71291,6.5
Hickman Elementary ,1104,72685,13.5
Keyes Union Elementary,710,71593,12.3
Knights Ferry Elementary,82,58761,1.3
Patterson Joint Unified,5749,62386,6.5
Salida Union Elementary,2368,76473,8.7
Stanislaus Union Elementary,3170,72212,3
Sylvan Union Elementary,7958,69795,8.5
Newman-Crows Landing Unified,2817,69078,9.2
Hughson Unified,2074,73996,17.7
Riverbank Unified,2154,66669,2
Oakdale Joint Unified,5042,70765,7.8
Waterford Unified,1683,69029,9.2
Turlock Unified,13285,75122,5
Brittan Elementary,429,70639,14.7
Live Oak Unified,1683,65672,10.3
Marcum-Illinois Union Elementary,163,46594,9.4
Sutter Union High,681,62759,10.3
Yuba City Unified,12135,64165,13.2
Corning Union Elementary,1957,60708,7.4
Evergreen Union Elementary,1007,65926,4.7
Gerber Union Elementary,387,64934,10.4
Red Bluff Union Elementary,2059,61159,3
Red Bluff Joint Union High,1463,71455,12.9
Douglas City Elementary,181,52394,0.7
Southern Trinity Joint Unified,95,54985,17.8
Mountain Valley Unified,276,56505,10.1
Allensworth Elementary,78,45727,-1.6
Alpaugh Unified,305,51665,11.2
Alta Vista Elementary,554,66868,15.3
Buena Vista Elementary,179,56496,11.4
Burton Elementary,4191,63685,7.4
Citrus South Tule Elementary,28,66664,21
Columbine Elementary,202,77469,15.4
Cutler-Orosi Joint Unified,3949,65829,8.3
Earlimart Elementary,1881,65225,12.8
Hope Elementary,223,52417,-10.2
Kings River Union Elementary,441,67986,11.1
Liberty Elementary,402,54807,6.5
Lindsay Unified,4020,66595,12.8
Monson-Sultana Joint Union Elementary,444,68352,27.8
Oak Valley Union Elementary,505,59782,4.4
Palo Verde Union Elementary,507,69548,11.5
Pixley Union Elementary,1064,64438,5.2
Pleasant View Elementary,507,65411,8.9
Richgrove Elementary,647,72251,16.8
Rockford Elementary,392,58498,4.4
Saucelito Elementary,81,57144,16.1
Sequoia Union Elementary,307,59433,13.5
Springville Union Elementary,266,61391,-0.3
Stone Corral Elementary,141,49804,16.4
Strathmore Union Elementary,822,66215,20.9
Sundale Union Elementary,797,65855,12.6
Sunnyside Union Elementary,330,58632,6.3
Terra Bella Union Elementary,901,67739,16.9
Three Rivers Union Elementary,137,42401,-5.4
Tipton Elementary,592,67503,17.5
Traver Joint Elementary,221,62015,16.9
